iter	Passed	Remaining
939	6946	443
940	6953	435
941	6960	428
942	6968	421
943	6976	413
944	6983	406
945	6990	399
946	6996	391
947	7003	384
948	7010	376
949	7016	369
950	7024	361
951	7030	354
952	7039	347
953	7046	339
954	7053	332
955	7061	324
956	7068	317
957	7075	310
958	7081	302
959	7089	295
960	7095	287
961	7102	280
962	7110	273
963	7116	265
964	7124	258
965	7133	251
966	7140	243
967	7146	236
968	7154	228
969	7161	221
970	7167	214
971	7176	206
972	7182	199
973	7190	191
974	7197	184
975	7204	177
976	7211	169
977	7219	162
978	7225	154
979	7232	147
980	7239	140
981	7247	132
982	7254	125
983	7261	118
984	7268	110
985	7274	103
986	7281	95
987	7288	88
988	7294	81
989	7301	73
990	7308	66
991	7315	58
992	7322	51
993	7331	44
994	7339	36
995	7346	29
996	7354	22
997	7361	14
998	7369	7
999	7376	0
